File,r^2 sigma,r2 no sigma,r sigma,r pval sigma,r no sigma,r pval no sigma,ks sigma,ks no sigma
all_mgchla_run11_1003,-0.12676625245011386,0.44572955958680416,0.4395435928570212,0.0,0.6677116666069859,0.0,0.038555392874572936,0.12973808361802505
all_ugchla_run11,-0.10898797047932618,0.44572167732094725,0.43989448592723984,0.0,0.6677051412387058,0.0,0.0381486904180901,0.1295754026354319
all_ugchla_run4_0903,-0.12416950858110987,0.4457272063062868,0.4371634008567202,0.0,0.6677092675485731,0.0,0.03611517813567594,0.1296567431267285
all_ugchla_run8_0903,-0.13753102020251662,0.4457235998891733,0.430086538392662,0.0,0.6677058176552002,0.0,0.036196518626972485,0.12973808361802505
traps_mgchla_run0_1003,-0.15106236766774073,0.435252829074802,0.4296389461333674,0.0,0.6597391508897255,0.0,0.03656383962343446,0.1310414390182399
traps_mgchla_run1,-0.1568585602408632,0.43525628627946644,0.42605526712427166,0.0,0.6597418739023997,0.0,0.03874926452046734,0.13112549382197194
traps_mgchla_run11,-0.13537269373258787,0.4352514622204783,0.435793921475521,0.0,0.6597382983219882,0.0,0.036059510801042305,0.13112549382197194
traps_mgchla_run17_0903,-0.15006503527461423,0.4352639664935556,0.4315219005062328,0.0,0.6597475298348998,0.0,0.037824661679415006,0.13129360342943597
traps_mgchla_run6_1003,-0.13936352724763035,0.4352573609279303,0.4327956915989084,0.0,0.6597423550449255,0.0,0.04219551147348072,0.13120954862570394
traps_ugchla_run14_0903,-0.13172310356065076,0.4352524266622394,0.43281417703715946,0.0,0.6597387588393788,0.0,0.044128771959317525,0.13112549382197194
traps_ugchla_run18_0903,-0.16160606873959815,0.43525368271504816,0.42335354416944393,0.0,0.6597399436614747,0.0,0.04236362108094477,0.13120954862570394
